word,value
missouri,310825.270933746
digital,254238.50753346598
managing,247455.71256636488
problems,243601.79768614823
insurance,235767.870429503
ci,234605.6131721585
space,220752.52037793526
family,211932.97530284102
located,208808.15700248865
efficient,207074.42874483718
fast,206768.67868650876
california,203283.37570987805
testing,202547.94947511607
implement,197708.4671360427
deep,195480.15950585157
mid,194106.4695016166
applications,190625.18656052643
science,187152.95472811695
fintech,179988.12134125494
startup,179988.12134125494
driving,179006.48467330876
dallas,178799.7860370608
environment,178576.0783755741
clients,176289.92665397038
caci,175682.91226713252
dia,175645.96850391175
leader,173893.43025498962
dev,171567.31639182157
algorithms,169843.76445795092
engineers,166197.6013624153
closely,165774.6473231497
learning,164085.45560766553
evaluation,161860.59685361452
paced,159114.1369653876
sources,158122.83787685155
scientist,157786.2376459516
application,157036.70594370645
means,155202.63397612603
organizations,155132.8222464263
client,154947.56718480968
providing,154717.4560254627
al,153373.43356512356
media,153118.7288778279
boeing,149810.05416201032
hiring,147474.94660319499
growing,146360.88470250196
ll,144409.4467805545
decisions,143474.21217546787
architect,143377.36423155927
location,143040.87902239527
